project_name,project_by,location,Build_Up_Area,Unit_Types,Price,about_project,Project status,possesion,launched,rera_no
Monarch Aqua,By Monarch Properties in K R Puram,K R Puram,2204 - 2362 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														1.23Cr  - 1.32Cr 							",,Ongoing,Possession: Dec-2021,, REGISTRATION NO. PR/KN/170731/000466
Vaibhav Grand Palace,By Vaibhava Developers in Vijayanagar,Vijayanagar,1800 - 2023 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.63Cr  - 1.84Cr 							",,Ongoing,Possession: Dec-2018,,
Sri Pragnya Apartment,By Sri Parvata Builders Pvt Ltd in Whitefield,Whitefield,1330 - 1480 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														43.89L  - 48.84L 							",,Ongoing,Possession: Jun-2017,,
Abode Breeze,By Abode Creations India Pvt Ltd in Electronic City Phase II,Electronic City Phase II,1420 - 1652 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														49.70L  - 57.82L 							",,Ongoing,Possession: Jun-2017,,
SMA Hemala Pearl,By SMA Real Estate & Builders in Shanthi Nagar,Shanthi Nagar,1416 - 1563 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														1.48Cr  - 1.64Cr 							",,Ongoing,Possession: Mar-2018,,
Prabhavathi Grand View,By Prabhavathi Builders in Sarjapur,Sarjapur,1017 - 1020 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ongoing,,,
Aban Desire,By Aban Developers in Sarjapur Road,Sarjapur Road,1440 - 1475 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														 
														44.64L  - 45.72L 							",,Ongoing,Possession: May-2019,,
Brigade Lakefront - Amber Block,By Brigade Group in Whitefield,Whitefield,1174 - 1330 sq.ft,"
								2 BHK Apartment
								Availability*: Yes
							","
														 
														80.30L  - 94.29L 							",,Ongoing,Possession: Apr-2018,Launched: Jun-2013,
Dhiraan Avenue ,By Dhiraan Infrastructure in Kanakapura Road,Kanakapura Road,1195 - 1290 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														38.24L  - 41.28L 							",,Ongoing,Possession: Apr-2018,,
SV Spring Woods,By SV Infra in Kanakapura Road,Kanakapura Road,1470 - 1600 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														61.74L  - 67.20L 							",,Ongoing,Possession: Mar-2018,Launched: Jun-2015,
Suvastu Astoria Park,By Suvastu Projects Pvt Ltd in Electronic City Phase I,Electronic City Phase I,1325 - 1350 sq.ft,"
								3 BHK Apartment
								Availability*: Yes
							","
														 
														50.35L  - 51.30L 							",,Ongoing,Possession: Dec-2017,,
Alps Optima,By ALPS Prime Spaces Pvt Ltd. in Electronic City Phase I,Electronic City Phase I,2494 sq.ft,"
								4 BHK Apartment
								Availability*: Yes
							","
														NA							",,Ongoing,,,
Vivansaa Aurigaa,By The Vivansaa Group in Sarjapur Road,Sarjapur Road,1212 - 1285 sq.ft,"
								2.5 BHK Apartment
								Availability*: Yes
							","
														 
														47.25L  - 49.81L 							",,Ongoing,Possession: Mar-2018,,
